game_id,game_date,home_team,away_team,home_score,away_score,margin,closing_spread,home_ortg_10,home_drtg_10,home_net_rtg_10,home_pace_10,home_win_pct_10,home_rest_days,home_b2b,away_ortg_10,away_drtg_10,away_net_rtg_10,away_pace_10,away_win_pct_10,away_rest_days,away_b2b
0022300031,2023-11-17,TOR,BOS,105,108,-3,,109.9,113.0,-3.0999999999999943,100.0,0.4,2,0,119.4,105.6,13.800000000000011,100.0,0.8,2,0
0022300032,2023-11-17,SAS,SAC,120,129,-9,,109.2,124.6,-15.399999999999991,100.0,0.2,3,0,114.5,114.6,-0.09999999999999432,100.0,0.6,2,0
0022300033,2023-11-17,CHI,ORL,97,103,-6,,108.9,110.5,-1.5999999999999943,100.0,0.3,2,0,107.6,108.7,-1.1000000000000085,100.0,0.5,2,0
0022300034,2023-11-17,NOP,DEN,115,110,5,,113.0,119.1,-6.099999999999994,100.0,0.4,3,0,114.2,107.3,6.900000000000006,100.0,0.7,3,0
0022300035,2023-11-17,UTA,PHX,128,131,-3,,114.8,119.8,-5.0,100.0,0.3,3,0,117.9,116.0,1.9000000000000057,100.0,0.5,2,0
0022300036,2023-11-17,POR,LAL,95,107,-12,,103.9,111.1,-7.199999999999989,100.0,0.3,2,0,112.7,114.0,-1.2999999999999972,100.0,0.6,2,0
0022300037,2023-11-17,LAC,HOU,106,100,6,,111.5,110.6,0.9000000000000057,100.0,0.3,3,0,109.9,105.8,4.1000000000000085,100.0,0.6,5,0
0022300038,2023-11-21,ORL,TOR,126,107,19,,112.5,108.6,3.9000000000000057,100.0,0.7,2,0,115.0,115.6,-0.5999999999999943,100.0,0.5,2,0
0022300039,2023-11-21,ATL,IND,152,157,-5,,123.4,122.0,1.4000000000000057,100.0,0.5,4,0,129.2,129.2,0.0,100.0,0.6,2,0
0022300040,2023-11-21,PHI,CLE,119,122,-3,,121.4,114.9,6.5,100.0,0.7,2,0,114.4,110.7,3.700000000000003,100.0,0.7,2,0
0022300041,2023-11-21,PHX,POR,120,107,13,,119.9,118.5,1.4000000000000057,100.0,0.6,2,0,104.0,114.8,-10.799999999999997,100.0,0.2,2,0
0022300042,2023-11-21,LAL,UTA,131,99,32,,112.7,111.5,1.2000000000000028,100.0,0.6,2,0,117.8,123.3,-5.5,100.0,0.3,2,0
0022300043,2023-11-24,ORL,BOS,113,96,17,,112.7,108.7,4.0,100.0,0.7,2,0,111.5,106.7,4.799999999999997,100.0,0.7,2,0
0022300044,2023-11-24,MEM,PHX,89,110,-21,,106.0,111.6,-5.599999999999994,100.0,0.3,2,0,121.1,114.5,6.599999999999994,100.0,0.8,2,0
0022300045,2023-11-24,NYK,MIA,100,98,2,,112.7,106.9,5.799999999999997,100.0,0.7,4,0,112.6,104.9,7.699999999999989,100.0,0.8,2,0
0022300046,2023-11-24,TOR,CHI,121,108,13,,117.4,117.0,0.4000000000000057,100.0,0.6,2,0,107.6,110.6,-3.0,100.0,0.3,2,0
0022300047,2023-11-24,IND,DET,136,113,23,,133.4,126.6,6.800000000000011,100.0,0.6,2,0,109.6,121.2,-11.600000000000009,100.0,0.0,4,0
0022300048,2023-11-24,HOU,DEN,105,86,19,,110.4,99.4,11.0,100.0,0.7,2,0,111.1,110.5,0.5999999999999943,100.0,0.5,2,0
0022300049,2023-11-24,MIL,WAS,131,128,3,,123.8,117.7,6.099999999999994,100.0,0.7,2,0,116.5,123.9,-7.400000000000006,100.0,0.1,2,0
0022300050,2023-11-24,MIN,SAC,111,124,-13,,114.9,110.7,4.200000000000003,100.0,0.8,2,0,116.7,115.8,0.9000000000000057,100.0,0.7,2,0
0022300051,2023-11-24,GSW,SAS,118,112,6,,113.2,116.4,-3.200000000000003,100.0,0.3,2,0,106.7,123.6,-16.89999999999999,100.0,0.0,2,0
0022300052,2023-11-24,LAC,NOP,106,116,-10,,109.5,111.8,-2.299999999999997,100.0,0.3,2,0,117.0,114.8,2.200000000000003,100.0,0.5,2,0
0022300053,2023-11-28,BOS,CHI,124,97,27,,112.8,105.4,7.3999999999999915,100.0,0.8,2,0,103.7,111.9,-8.200000000000003,100.0,0.2,2,0
